Reading data file... Done.
After 18600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 19900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 20900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 21900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 22900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
